CLASS,BRANCH_MISSED,BRANCH_COVERED,Total_Branch,Branch_Coverage,LINE_MISSED,LINE_COVERED,Total_Line,Line_coverage,COMPLEXITY_MISSED,COMPLEXITY_COVERED,Total_complexity
FieldRotation,3,105,108,0.97,0,431,431,100%,3,88,91
OutlineExtractor,14,0,14,0.00,34,0,34,0%,10,0,10
Vector3DFormat,1,3,4,0.75,4,19,23,83%,2,9,11
PolyhedronsSet.FacetsContributionVisitor,2,6,8,0.75,2,24,26,92%,2,7,9
Line,4,12,16,0.75,7,46,53,87%,8,21,29
SubLine,0,14,14,1.00,2,28,30,93%,1,13,14
Rotation,3,105,108,0.97,0,365,365,100%,3,76,79
Segment,0,0,0,100.00,0,8,8,100%,0,4,4
PolyhedronsSet.RotationTransform,0,2,2,1.00,0,23,23,100%,0,5,5
SphereGenerator,0,8,8,1.00,0,62,62,100%,0,7,7
PolyhedronsSet,16,78,94,0.83,17,130,147,88%,18,49,67
SubPlane,2,16,18,0.89,0,44,44,100%,2,11,13
Vector3D,0,46,46,1.00,0,142,142,100%,0,71,71
Euclidean3D,0,0,0,100.00,0,4,4,100%,0,4,4
NotARotationMatrixException,0,0,0,100.00,0,2,2,100%,0,1,1
Plane,3,19,22,0.86,26,93,119,78%,11,37,48
CardanEulerSingularityException,0,2,2,1.00,0,2,2,100%,0,2,2
OutlineExtractor.BoundaryProjector,34,0,34,0.00,63,0,63,0%,23,0,23
SphericalCoordinates,2,2,4,0.50,0,117,117,100%,2,11,13
FieldVector3D,0,72,72,1.00,0,259,259,100%,0,118,118
Euclidean3D.LazyHolder,0,0,0,100.00,0,1,1,100%,0,1,1
SmallPrimes,4,30,34,0.88,4,53,57,93%,4,18,22
Primes,0,26,26,1.00,0,29,29,100%,0,16,16
PollardRho,22,0,22,0.00,60,0,60,0%,14,0,14
AVLTree.Node,3,107,110,0.97,0,196,196,100%,3,71,74
AVLTree.Skew,0,0,0,100.00,0,4,4,100%,0,1,1
AVLTree,9,27,36,0.75,4,38,42,90%,9,18,27
OrderedTuple,94,0,94,0.00,123,0,123,0%,59,0,59
OutOfRangeException,0,0,0,100.00,0,8,8,100%,0,4,4
DimensionMismatchException,0,0,0,100.00,0,6,6,100%,0,3,3
MaxCountExceededException,0,0,0,100.00,0,7,7,100%,0,3,3
NoBracketingException,0,0,0,100.00,4,8,12,67%,4,2,6
MathUnsupportedOperationException,0,0,0,100.00,3,6,9,67%,3,2,5
MathArithmeticException,0,0,0,100.00,1,10,11,91%,1,4,5
NotStrictlyPositiveException,0,0,0,100.00,0,4,4,100%,0,2,2
MathParseException,0,0,0,100.00,4,4,8,50%,1,1,2
MathRuntimeException,0,0,0,100.00,7,0,7,0%,4,0,4
NullArgumentException,0,0,0,100.00,0,4,4,100%,0,2,2
NotPositiveException,0,0,0,100.00,0,4,4,100%,0,2,2
TooManyEvaluationsException,0,0,0,100.00,0,3,3,100%,0,1,1
ZeroException,0,0,0,100.00,0,4,4,100%,0,2,2
NumberIsTooLargeException,0,2,2,1.00,0,8,8,100%,0,5,5
MultiDimensionMismatchException,0,0,0,100.00,4,6,10,60%,3,3,6
MathIllegalArgumentException,0,0,0,100.00,1,6,7,86%,1,3,4
NonMonotonicSequenceException,0,6,6,1.00,0,13,13,100%,0,9,9
NoDataException,0,0,0,100.00,0,4,4,100%,0,2,2
TooManyIterationsException,0,0,0,100.00,0,3,3,100%,0,1,1
ConvergenceException,0,0,0,100.00,0,5,5,100%,0,2,2
NotFiniteNumberException,0,0,0,100.00,0,4,4,100%,0,2,2
MathInternalError,0,0,0,100.00,7,0,7,0%,3,0,3
MathIllegalStateException,0,0,0,100.00,5,8,13,62%,2,4,6
NumberIsTooSmallException,0,2,2,1.00,0,8,8,100%,0,5,5
NotANumberException,0,0,0,100.00,0,2,2,100%,0,1,1
InsufficientDataException,0,0,0,100.00,0,4,4,100%,0,2,2
MathIllegalNumberException,0,0,0,100.00,0,5,5,100%,0,3,3
LevenbergMarquardtOptimizer,19,187,206,0.91,14,363,377,96%,18,97,115
AbstractLeastSquaresOptimizer,2,12,14,0.86,2,41,43,95%,2,18,20
GaussNewtonOptimizer,3,23,26,0.88,2,59,61,97%,3,14,17
MultivariateNormalMixtureExpectationMaximization.DataRow,4,2,6,0.33,6,9,15,60%,4,4,8
MultivariateNormalMixtureExpectationMaximization,3,51,54,0.94,3,108,111,97%,3,30,33
SubCircle,0,12,12,1.00,0,22,22,100%,0,10,10
Edge,1,11,12,0.92,4,47,51,92%,1,14,15
Sphere2D,0,0,0,100.00,1,3,4,75%,1,3,4
S2Point,4,16,20,0.80,1,42,43,98%,4,21,25
Circle,0,2,2,1.00,1,43,44,98%,1,24,25
Sphere2D.LazyHolder,0,0,0,100.00,0,1,1,100%,0,1,1
EdgesBuilder,1,23,24,0.96,1,52,53,98%,1,18,19
PropertiesComputer,3,13,16,0.81,3,41,44,93%,3,14,17
Vertex,1,5,6,0.83,1,23,24,96%,1,10,11
SphericalPolygonsSet,13,69,82,0.84,7,146,153,95%,11,45,56
Circle.CircleTransform,0,0,0,100.00,0,10,10,100%,0,4,4
ComplexField.LazyHolder,0,0,0,100.00,0,1,1,100%,0,1,1
Complex,17,165,182,0.91,9,224,233,96%,18,122,140
ComplexField,0,0,0,100.00,1,4,5,80%,1,4,5
Quaternion,6,26,32,0.81,6,97,103,94%,6,40,46
ComplexUtils,0,4,4,1.00,0,8,8,100%,0,4,4
ComplexFormat,17,21,38,0.55,35,76,111,68%,18,22,40
RootsOfUnity,5,19,24,0.79,8,40,48,83%,5,13,18
SobolSequenceGenerator,6,36,42,0.86,13,85,98,87%,6,23,29
UncorrelatedRandomVectorGenerator,1,3,4,0.75,1,16,17,94%,1,4,5
RandomGeneratorFactory.new RandomGenerator() {...},0,2,2,1.00,2,16,18,89%,1,12,13
BitsStreamGenerator,4,14,18,0.78,7,48,55,87%,3,17,20
ValueServer,2,23,25,0.92,7,78,85,92%,3,38,41
UniformRandomGenerator,0,0,0,100.00,0,5,5,100%,0,3,3
ISAACRandom,1,19,20,0.95,5,124,129,96%,2,21,23
RandomDataGenerator,17,53,70,0.76,26,137,163,84%,14,56,70
AbstractRandomGenerator,5,17,22,0.77,7,40,47,85%,5,17,22
SynchronizedRandomGenerator,0,0,0,100.00,6,12,18,67%,3,9,12
StableRandomGenerator,5,19,24,0.79,9,31,40,78%,4,10,14
Well19937c,0,0,0,100.00,0,26,26,100%,0,5,5
Well19937a,0,0,0,100.00,2,22,24,92%,1,4,5
GaussianRandomGenerator,0,0,0,100.00,0,4,4,100%,0,2,2
UnitSphereRandomVectorGenerator,0,4,4,1.00,0,16,16,100%,0,5,5
Well44497a,0,2,2,1.00,4,22,26,85%,2,4,6
Well44497b,0,2,2,1.00,0,28,28,100%,0,6,6
MersenneTwister,1,27,28,0.96,2,74,76,97%,1,22,23
CorrelatedRandomVectorGenerator,3,7,10,0.70,12,19,31,61%,4,7,11
EmpiricalDistribution.DataAdapter,0,0,0,100.00,0,1,1,100%,0,1,1
RandomAdaptor,4,2,6,0.33,7,16,23,70%,5,12,17
HaltonSequenceGenerator,0,16,16,1.00,0,33,33,100%,0,15,15
Well1024a,0,0,0,100.00,2,20,22,91%,1,4,5
RandomDataImpl,0,0,0,100.00,38,5,43,12%,32,2,34
EmpiricalDistribution.StreamDataAdapter,0,4,4,1.00,0,23,23,100%,0,5,5
AbstractWell,0,8,8,1.00,0,39,39,100%,0,11,11
RandomGeneratorFactory,2,0,2,0.00,5,1,6,17%,2,1,3
Well512a,0,0,0,100.00,4,17,21,81%,2,3,5
EmpiricalDistribution.ArrayDataAdapter,0,4,4,1.00,0,14,14,100%,0,5,5
JDKRandomGenerator,0,0,0,100.00,2,3,5,60%,1,2,3
EmpiricalDistribution,6,44,50,0.88,19,144,163,88%,13,50,63
FunctionUtils.new UnivariateDifferentiableFunction() {...},2,3,5,0.60,3,12,15,80%,3,3,6
FunctionUtils.new DifferentiableUnivariateFunction() {...},0,0,0,100.00,0,3,3,100%,0,3,3
FunctionUtils.new MultivariateDifferentiableFunction() {...},3,11,14,0.79,4,22,26,85%,4,6,10
FunctionUtils.new DifferentiableMultivariateFunction() {...},0,0,0,100.00,1,3,4,75%,1,3,4
FunctionUtils.new MultivariateDifferentiableVectorFunction() {...},3,13,16,0.81,3,26,29,90%,3,8,11
FunctionUtils.new DifferentiableMultivariateVectorFunction() {...},0,0,0,100.00,0,3,3,100%,0,3,3
FunctionUtils.new MultivariateFunction() {...},0,2,2,1.00,0,5,5,100%,0,3,3
FunctionUtils.new UnivariateFunction() {...},0,0,0,100.00,0,2,2,100%,0,2,2
FunctionUtils.new UnivariateFunction() {...},0,0,0,100.00,0,2,2,100%,0,2,2
FunctionUtils.new UnivariateFunction() {...},0,0,0,100.00,0,2,2,100%,0,2,2
FunctionUtils.18.new MultivariateMatrixFunction() {...},0,6,6,1.00,0,14,14,100%,0,5,5
FunctionUtils.16.new MultivariateFunction() {...},4,0,4,0.00,9,0,9,0%,4,0,4
FunctionUtils.16.new MultivariateVectorFunction() {...},0,4,4,1.00,0,13,13,100%,0,4,4
FunctionUtils.6.new UnivariateFunction() {...},2,0,2,0.00,5,0,5,0%,3,0,3
FunctionUtils.new DifferentiableUnivariateFunction() {...},2,0,2,0.00,6,0,6,0%,4,0,4
FunctionUtils.3.new UnivariateFunction() {...},2,0,2,0.00,7,0,7,0%,3,0,3
FunctionUtils.new UnivariateFunction() {...},0,2,2,1.00,0,5,5,100%,0,3,3
FunctionUtils.new UnivariateFunction() {...},0,2,2,1.00,0,5,5,100%,0,3,3
FunctionUtils.new UnivariateDifferentiableFunction() {...},2,2,4,0.50,4,5,9,56%,2,3,5
FunctionUtils.new UnivariateFunction() {...},0,2,2,1.00,0,5,5,100%,0,3,3
FunctionUtils.new UnivariateDifferentiableFunction() {...},2,2,4,0.50,4,5,9,56%,2,3,5
FunctionUtils.new UnivariateDifferentiableFunction() {...},2,2,4,0.50,4,5,9,56%,2,3,5
FunctionUtils.new DifferentiableUnivariateFunction() {...},2,0,2,0.00,6,0,6,0%,4,0,4
FunctionUtils.new DifferentiableUnivariateFunction() {...},2,0,2,0.00,6,0,6,0%,4,0,4
FunctionUtils.9.new UnivariateFunction() {...},6,0,6,0.00,9,0,9,0%,5,0,5
FunctionUtils,0,6,6,1.00,3,27,30,90%,3,21,24
FunctionUtils.14.new UnivariateFunction() {...},0,0,0,100.00,0,2,2,100%,0,2,2
FiniteDifferencesDifferentiator.new UnivariateDifferentiableFunction() {...},0,4,4,1.00,0,9,9,100%,0,5,5
FiniteDifferencesDifferentiator.new UnivariateDifferentiableVectorFunction() {...},0,10,10,1.00,0,16,16,100%,0,8,8
DerivativeStructure,2,68,70,0.97,0,304,304,100%,2,116,118
FiniteDifferencesDifferentiator.new UnivariateDifferentiableMatrixFunction() {...},0,14,14,1.00,0,18,18,100%,0,10,10
FiniteDifferencesDifferentiator,0,14,14,1.00,0,42,42,100%,0,15,15
DSCompiler,2,294,296,0.99,2,570,572,100%,2,195,197
SparseGradient.new Field() {...},0,0,0,100.00,0,4,4,100%,0,4,4
DerivativeStructure.new Field() {...},0,0,0,100.00,0,4,4,100%,0,4,4
SparseGradient,6,106,112,0.95,4,247,251,98%,6,125,131
GradientFunction,0,4,4,1.00,0,14,14,100%,0,4,4
DerivativeStructure.DataTransferObject,0,0,0,100.00,0,6,6,100%,0,2,2
JacobianFunction,0,6,6,1.00,0,15,15,100%,0,5,5
SubLimitAngle,0,6,6,1.00,0,9,9,100%,0,9,9
S1Point,2,8,10,0.80,1,24,25,96%,2,14,16
LimitAngle,1,5,6,0.83,1,15,16,94%,2,12,14
Sphere1D.LazyHolder,0,0,0,100.00,0,1,1,100%,0,1,1
Sphere1D,0,0,0,100.00,0,4,4,100%,0,4,4
ArcsSet.InconsistentStateAt2PiWrapping,0,0,0,100.00,0,2,2,100%,0,1,1
ArcsSet.SubArcsIterator,2,24,26,0.92,1,38,39,97%,2,16,18
ArcsSet.Split,0,0,0,100.00,0,6,6,100%,0,3,3
ArcsSet,17,123,140,0.88,17,235,252,93%,14,86,100
Arc,0,16,16,1.00,1,23,24,96%,1,14,15
Sphere1D.NoSubSpaceException,0,0,0,100.00,0,2,2,100%,0,1,1
MultivariateOptimizer,0,6,6,1.00,0,15,15,100%,0,8,8
LineSearch.new UnivariateFunction() {...},0,2,2,1.00,0,6,6,100%,0,3,3
GoalType,0,0,0,100.00,0,3,3,100%,0,1,1
MultiStartMultivariateOptimizer.new Comparator() {...},5,3,8,0.38,2,7,9,78%,4,2,6
ObjectiveFunctionGradient,0,0,0,100.00,0,4,4,100%,0,2,2
MultivariateFunctionMappingAdapter,2,16,18,0.89,2,26,28,93%,2,11,13
LineSearch,0,0,0,100.00,0,14,14,100%,0,2,2
MultivariateFunctionPenaltyAdapter,3,17,20,0.85,3,26,29,90%,3,9,12
MultivariateFunctionMappingAdapter.LowerUpperBoundMapper,0,0,0,100.00,0,6,6,100%,0,3,3
MultivariateFunctionMappingAdapter.LowerBoundMapper,0,0,0,100.00,0,5,5,100%,0,3,3
MultivariateFunctionMappingAdapter.NoBoundsMapper,0,0,0,100.00,0,2,2,100%,0,2,2
GradientMultivariateOptimizer,1,3,4,0.75,0,10,10,100%,1,5,6
MultivariateFunctionMappingAdapter.UpperBoundMapper,0,0,0,100.00,0,5,5,100%,0,3,3
MultiStartMultivariateOptimizer,0,0,0,100.00,0,11,11,100%,0,5,5
LeastSquaresConverter,3,15,18,0.83,3,35,38,92%,3,10,13
ObjectiveFunction,0,0,0,100.00,0,4,4,100%,0,2,2
SubHyperplane.SplitSubHyperplane,0,0,0,100.00,0,6,6,100%,0,3,3
Side,0,0,0,100.00,0,5,5,100%,0,1,1
RegionFactory.IntersectionMerger,0,2,2,1.00,0,6,6,100%,0,3,3
BoundaryProjection,0,0,0,100.00,0,8,8,100%,0,4,4
BSPTree.new BSPTree.VanishingCutHandler() {...},0,0,0,100.00,2,0,2,0%,2,0,2
BSPTree,14,85,99,0.86,22,208,230,90%,14,65,79
BoundarySizeVisitor,0,4,4,1.00,0,13,13,100%,0,7,7
AbstractRegion,13,75,88,0.85,7,141,148,95%,15,60,75
Characterization,2,18,20,0.90,1,42,43,98%,2,19,21
BoundaryProjector,4,26,30,0.87,0,51,51,100%,4,20,24
BoundaryBuilder,0,14,14,1.00,0,27,27,100%,0,11,11
InsideFinder,5,45,50,0.90,0,42,42,100%,5,25,30
AbstractRegion.new Comparator() {...},0,4,4,1.00,0,4,4,100%,0,4,4
AbstractRegion.new BSPTreeVisitor() {...},1,3,4,0.75,0,7,7,100%,1,5,6
RegionFactory.UnionMerger,0,2,2,1.00,0,6,6,100%,0,3,3
RegionFactory.XorMerger,0,2,2,1.00,0,6,6,100%,0,3,3
NodesSet,0,6,6,1.00,0,14,14,100%,0,7,7
AbstractSubHyperplane,2,14,16,0.88,0,40,40,100%,2,15,17
RegionFactory,2,24,26,0.92,1,57,58,98%,2,20,22
BoundaryAttribute,0,0,0,100.00,2,8,10,80%,1,4,5
RegionFactory.VanishingToLeaf,2,0,2,0.00,3,3,6,50%,2,1,3
RegionFactory.DifferenceMerger,3,7,10,0.70,0,17,17,100%,2,6,8
Region.Location,0,0,0,100.00,0,4,4,100%,0,1,1
RegionFactory.NodesCleaner,0,0,0,100.00,0,5,5,100%,0,4,4
BSPTreeVisitor.Order,0,0,0,100.00,0,7,7,100%,0,1,1
DummyStepHandler,0,0,0,100.00,4,0,4,0%,4,0,4
AbstractStepInterpolator,9,25,34,0.74,15,171,186,92%,10,33,43
StepNormalizer,1,33,34,0.97,5,59,64,92%,3,23,26
StepNormalizerBounds,0,0,0,100.00,0,11,11,100%,0,4,4
NordsieckStepInterpolator,11,27,38,0.71,7,80,87,92%,12,17,29
DummyStepHandler.LazyHolder,0,0,0,100.00,1,0,1,0%,1,0,1
StepNormalizerMode,0,0,0,100.00,0,3,3,100%,0,1,1
Line.LineTransform,1,1,2,0.50,1,32,33,97%,1,4,5
SubLine,0,34,34,1.00,2,59,61,97%,1,26,27
Line,5,15,20,0.75,27,81,108,75%,10,35,45
Vector2DFormat,1,3,4,0.75,5,18,23,78%,3,8,11
Euclidean2D.LazyHolder,0,0,0,100.00,0,1,1,100%,0,1,1
DiskGenerator,0,6,6,1.00,0,33,33,100%,0,6,6
Euclidean2D,0,0,0,100.00,0,4,4,100%,0,4,4
PolygonsSet.Edge,0,0,0,100.00,0,21,21,100%,0,7,7
PolygonsSet.ConnectableSegment,0,0,0,100.00,0,20,20,100%,0,10,10
PolygonsSet.SegmentsBuilder,3,15,18,0.83,0,38,38,100%,3,13,16
PolygonsSet.Vertex,0,6,6,1.00,0,24,24,100%,0,11,11
PolygonsSet,38,135,173,0.78,49,217,266,82%,33,75,108
Vector2D,18,16,34,0.47,52,54,106,51%,34,23,57
Segment,2,2,4,0.50,3,16,19,84%,2,5,7
NestedLoops,28,0,28,0.00,62,0,62,0%,20,0,20
MultivariateSummaryStatistics,8,36,44,0.82,0,145,145,100%,8,50,58
AggregateSummaryStatistics.AggregatingSummaryStatistics,8,0,8,0.00,8,8,16,50%,6,2,8
SynchronizedDescriptiveStatistics,0,0,0,100.00,4,28,32,88%,2,14,16
DescriptiveStatistics,3,21,24,0.88,18,145,163,89%,4,59,63
AbstractStorelessUnivariateStatistic,2,16,18,0.89,1,24,25,96%,2,14,16
AbstractUnivariateStatistic,10,2,12,0.17,13,11,24,46%,7,10,17
SynchronizedSummaryStatistics,0,0,0,100.00,29,30,59,51%,13,24,37
SummaryStatistics,19,41,60,0.68,28,169,197,86%,28,42,70
AggregateSummaryStatistics,10,14,24,0.58,15,53,68,78%,15,14,29
StatisticalSummaryValues,5,11,16,0.69,0,45,45,100%,5,14,19
SynchronizedMultivariateSummaryStatistics,0,0,0,100.00,0,41,41,100%,0,31,31
SimplexOptimizer,3,19,22,0.86,1,36,37,97%,3,14,17
NelderMeadSimplex,1,31,32,0.97,3,82,85,96%,2,23,25
CMAESOptimizer.DoubleIndex,6,0,6,0.00,7,5,12,42%,5,2,7
BOBYQAOptimizer.PathIsExploredException,0,0,0,100.00,2,0,2,0%,1,0,1
MultiDirectionalSimplex,0,8,8,1.00,2,42,44,95%,1,13,14
CMAESOptimizer.ValuePenaltyPair,0,0,0,100.00,0,4,4,100%,0,1,1
PowellOptimizer,4,32,36,0.89,3,89,92,97%,4,22,26
CMAESOptimizer.PopulationSize,1,1,2,0.50,1,5,6,83%,1,2,3
BOBYQAOptimizer,105,519,624,0.83,157,1027,1184,87%,90,243,333
AbstractSimplex,13,41,54,0.76,14,75,89,84%,14,27,41
CMAESOptimizer.FitnessFunction,7,15,22,0.68,9,27,36,75%,5,11,16
CMAESOptimizer.Sigma,0,4,4,1.00,0,7,7,100%,0,4,4
SimplexOptimizer.new MultivariateFunction() {...},0,0,0,100.00,0,2,2,100%,0,2,2
SimplexOptimizer.new Comparator() {...},0,2,2,1.00,0,4,4,100%,0,3,3
CMAESOptimizer,36,182,218,0.83,36,377,413,91%,32,117,149
AbstractLeastSquaresOptimizer,2,20,22,0.91,15,71,86,83%,7,26,33
NonLinearConjugateGradientOptimizer.LineSearchFunction,0,4,4,1.00,0,11,11,100%,0,4,4
LevenbergMarquardtOptimizer,21,181,202,0.90,15,360,375,96%,18,93,111
NonLinearConjugateGradientOptimizer,7,27,34,0.79,8,65,73,89%,8,16,24
AbstractDifferentiableOptimizer,0,0,0,100.00,6,0,6,0%,4,0,4
NonLinearConjugateGradientOptimizer.IdentityPreconditioner,0,0,0,100.00,0,2,2,100%,0,2,2
AbstractScalarDifferentiableOptimizer,0,0,0,100.00,1,7,8,88%,1,4,5
ConjugateGradientFormula,0,0,0,100.00,0,3,3,100%,0,1,1
GaussNewtonOptimizer,3,19,22,0.86,6,56,62,90%,5,11,16
EnclosingBall,0,4,4,1.00,0,11,11,100%,0,9,9
WelzlEncloser,1,19,20,0.95,1,45,46,98%,1,14,15
MaxIter,1,1,2,0.50,2,5,7,71%,2,2,4
BaseMultivariateOptimizer,2,28,30,0.93,1,36,37,97%,2,20,22
BaseOptimizer,0,6,6,1.00,4,27,31,87%,2,13,15
BaseOptimizer.MaxIterCallback,0,0,0,100.00,0,1,1,100%,0,1,1
AbstractOptimizationProblem.MaxEvalCallback,0,0,0,100.00,0,1,1,100%,0,1,1
BaseOptimizer.MaxEvalCallback,0,0,0,100.00,0,1,1,100%,0,1,1
PointVectorValuePair,3,9,12,0.75,0,13,13,100%,3,10,13
SimpleVectorValueChecker,0,12,12,1.00,0,21,21,100%,0,9,9
MaxEval,1,1,2,0.50,2,5,7,71%,2,2,4
PointValuePair,2,4,6,0.67,0,10,10,100%,2,6,8
AbstractOptimizationProblem.MaxIterCallback,0,0,0,100.00,0,1,1,100%,0,1,1
SimpleValueChecker,1,9,10,0.90,0,16,16,100%,1,7,8
PointValuePair.DataTransferObject,0,0,0,100.00,0,5,5,100%,0,2,2
AbstractConvergenceChecker,0,0,0,100.00,0,6,6,100%,0,3,3
PointVectorValuePair.DataTransferObject,0,0,0,100.00,0,5,5,100%,0,2,2
AbstractOptimizationProblem,0,0,0,100.00,0,10,10,100%,0,5,5
SimplePointChecker,2,10,12,0.83,0,21,21,100%,2,7,9
InitialGuess,0,0,0,100.00,0,4,4,100%,0,2,2
SimpleBounds,0,0,0,100.00,0,11,11,100%,0,4,4
BaseMultiStartMultivariateOptimizer,4,30,34,0.88,3,51,54,94%,4,17,21
BaseSecantSolver,3,45,48,0.94,3,65,68,96%,3,33,36
AbstractDifferentiableUnivariateSolver,0,0,0,100.00,2,7,9,78%,1,3,4
BrentSolver,1,39,40,0.98,2,83,85,98%,2,24,26
NewtonRaphsonSolver,0,2,2,1.00,0,14,14,100%,0,5,5
LaguerreSolver.ComplexSolver,8,22,30,0.73,5,61,66,92%,7,12,19
SecantSolver,1,9,10,0.90,5,26,31,84%,3,6,9
MullerSolver2,5,15,20,0.75,6,49,55,89%,6,8,14
RiddersSolver,4,12,16,0.75,6,46,52,88%,5,7,12
AbstractUnivariateDifferentiableSolver,0,0,0,100.00,2,7,9,78%,1,3,4
BracketingNthOrderBrentSolver,1,65,66,0.98,1,131,132,99%,1,43,44
AbstractUnivariateSolver,0,0,0,100.00,0,6,6,100%,0,3,3
IllinoisSolver,0,0,0,100.00,6,2,8,25%,3,1,4
AbstractPolynomialSolver,0,0,0,100.00,4,6,10,60%,2,3,5
UnivariateSolverUtils,19,49,68,0.72,28,72,100,72%,14,32,46
BisectionSolver,0,4,4,1.00,2,17,19,89%,1,5,6
BaseAbstractUnivariateSolver,0,0,0,100.00,1,44,45,98%,1,21,22
LaguerreSolver,8,8,16,0.50,17,29,46,63%,10,8,18
BaseSecantSolver.Method,0,0,0,100.00,0,4,4,100%,0,1,1
AllowedSolution,0,0,0,100.00,0,6,6,100%,0,1,1
NewtonSolver,0,2,2,1.00,0,12,12,100%,0,5,5
PegasusSolver,0,0,0,100.00,2,6,8,75%,1,3,4
MullerSolver,5,31,36,0.86,5,59,64,92%,6,17,23
RegulaFalsiSolver,0,0,0,100.00,6,2,8,25%,3,1,4
Weight,2,0,2,0.00,6,4,10,40%,2,2,4
MultivariateVectorOptimizer,0,10,10,1.00,0,25,25,100%,0,13,13
Target,0,0,0,100.00,0,4,4,100%,0,2,2
JacobianMultivariateVectorOptimizer,0,4,4,1.00,0,10,10,100%,0,6,6
ModelFunction,0,0,0,100.00,0,4,4,100%,0,2,2
ModelFunctionJacobian,0,0,0,100.00,0,4,4,100%,0,2,2
MultiStartMultivariateVectorOptimizer,0,0,0,100.00,0,11,11,100%,0,5,5
MultiStartMultivariateVectorOptimizer.new Comparator() {...},4,2,6,0.33,2,10,12,83%,3,3,6
UnivariatePointValuePair,0,0,0,100.00,0,6,6,100%,0,3,3
SearchInterval,3,3,6,0.50,2,12,14,86%,3,5,8
BracketFinder,10,36,46,0.78,9,84,93,90%,13,22,35
MultiStartUnivariateOptimizer.new Comparator() {...},3,5,8,0.63,1,8,9,89%,3,3,6
UnivariateOptimizer,0,8,8,1.00,0,24,24,100%,0,12,12
MultiStartUnivariateOptimizer,2,18,20,0.90,2,49,51,96%,2,14,16
BrentOptimizer,5,69,74,0.93,6,115,121,95%,5,37,42
UnivariateObjectiveFunction,0,0,0,100.00,0,4,4,100%,0,2,2
SimpleUnivariateValueChecker,1,9,10,0.90,0,16,16,100%,1,7,8
ChebyshevDistance,0,0,0,100.00,0,2,2,100%,0,2,2
EarthMoversDistance,0,2,2,1.00,0,8,8,100%,0,3,3
EuclideanDistance,0,0,0,100.00,0,2,2,100%,0,2,2
ManhattanDistance,0,0,0,100.00,0,2,2,100%,0,2,2
CanberraDistance,0,6,6,1.00,0,7,7,100%,0,5,5
Transformer.new Transformer() {...},0,0,0,100.00,0,2,2,100%,0,2,2
Transformer.new Transformer() {...},0,0,0,100.00,0,2,2,100%,0,2,2
Transformer.new Transformer() {...},0,0,0,100.00,0,2,2,100%,0,2,2
Transformer.new Transformer() {...},0,0,0,100.00,0,2,2,100%,0,2,2
Transformer.new Transformer() {...},0,0,0,100.00,0,2,2,100%,0,2,2
Transformer,0,0,0,100.00,0,6,6,100%,0,1,1
FilterType,0,0,0,100.00,0,3,3,100%,0,1,1
EventFilter,2,20,22,0.91,4,42,46,91%,3,13,16
FilterType.new FilterType() {...},2,36,38,0.95,2,39,41,95%,2,24,26
FilterType.new FilterType() {...},2,36,38,0.95,2,39,41,95%,2,24,26
EventState,16,52,68,0.76,8,102,110,93%,16,31,47
EventState.new UnivariateFunction() {...},0,0,0,100.00,2,3,5,60%,0,2,2
EventHandler.Action,0,0,0,100.00,0,5,5,100%,0,1,1
EventState.LocalMaxCountExceededException,0,0,0,100.00,4,0,4,0%,2,0,2
