CLASS,BRANCH_MISSED,BRANCH_COVERED,Total_Branch,Branch_Coverage,LINE_MISSED,LINE_COVERED,Total_Line,Line_coverage,COMPLEXITY_MISSED,COMPLEXITY_COVERED,Total_complexity
NonLinearConjugateGradientOptimizer.IdentityPreconditioner,0,0,0,100,0,2,2,1,0,2,2
NonLinearConjugateGradientOptimizer.Formula,0,0,0,100,0,3,3,1,0,1,1
NonLinearConjugateGradientOptimizer,5,28,33,0.848484848,10,61,71,0.85915493,7,19,26
NonLinearConjugateGradientOptimizer.BracketingStep,0,0,0,100,4,0,4,0,2,0,2
QuasiSigmoidDecayFunction,0,6,6,1,0,18,18,1,0,5,5
ExponentialDecayFunction,0,8,8,1,0,13,13,1,0,6,6
SimpleUnivariateValueChecker,2,8,10,0.8,3,16,19,0.842105263,3,6,9
BaseAbstractUnivariateOptimizer,2,2,4,0.5,2,27,29,0.931034483,2,11,13
UnivariatePointValuePair,0,0,0,100,0,6,6,1,0,3,3
BracketFinder,16,30,46,0.652173913,17,76,93,0.817204301,17,18,35
BrentOptimizer,5,69,74,0.932432432,6,116,122,0.950819672,5,37,42
UnivariateMultiStartOptimizer,4,10,14,0.714285714,5,28,33,0.848484848,6,9,15
UnivariateMultiStartOptimizer.new Comparator() {...},3,5,8,0.625,1,8,9,0.888888889,3,3,6
RegressionResults,28,30,58,0.517241379,34,53,87,0.609195402,28,18,46
GLSMultipleLinearRegression,0,2,2,1,3,21,24,0.875,1,7,8
OLSMultipleLinearRegression,0,12,12,1,0,43,43,1,0,18,18
MillerUpdatingRegression,66,208,274,0.759124088,83,429,512,0.837890625,57,104,161
SimpleRegression,44,80,124,0.64516129,49,179,228,0.785087719,33,61,94
AbstractMultipleLinearRegression,6,42,48,0.875,6,78,84,0.928571429,7,37,44
ModelSpecificationException,0,0,0,100,0,2,2,1,0,1,1
OrientedPoint,2,4,6,0.666666667,8,12,20,0.6,7,9,16
Vector1DFormat,1,3,4,0.75,4,19,23,0.826086957,2,9,11
Euclidean1D.LazyHolder,0,0,0,100,0,1,1,1,0,1,1
Vector1D,1,15,16,0.9375,3,71,74,0.959459459,2,41,43
Euclidean1D,0,0,0,100,0,4,4,1,0,4,4
Euclidean1D.NoSubSpaceException,0,0,0,100,0,2,2,1,0,1,1
IntervalsSet,15,77,92,0.836956522,19,125,144,0.868055556,17,60,77
SubOrientedPoint,0,4,4,1,1,10,11,0.909090909,1,6,7
IntervalsSet.SubIntervalsIterator,1,21,22,0.954545455,2,34,36,0.944444444,2,14,16
Interval,0,10,10,1,4,16,20,0.8,4,11,15
Relationship,0,3,3,1,1,11,12,0.916666667,1,5,6
AbstractLinearOptimizer,1,1,2,0.5,1,19,20,0.95,1,10,11
LinearConstraint,7,5,12,0.416666667,18,21,39,0.538461538,9,8,17
SimplexSolver,0,54,54,1,0,82,82,1,0,34,34
LinearObjectiveFunction,4,4,8,0.5,4,19,23,0.826086957,6,8,14
UnboundedSolutionException,0,0,0,100,0,2,2,1,0,1,1
SimplexTableau,11,117,128,0.9140625,10,178,188,0.946808511,14,82,96
NoFeasibleSolutionException,0,0,0,100,0,2,2,1,0,1,1
FastMath.Split,1,21,22,0.954545455,1,37,38,0.973684211,1,17,18
OpenIntToDoubleHashMap,0,68,68,1,0,157,157,1,0,58,58
FastMath.CodyWaite,0,2,2,1,0,24,24,1,0,5,5
DefaultTransformer,0,6,6,1,1,12,13,0.923076923,1,6,7
FastMath.lnMant,0,0,0,100,0,2,2,1,0,1,1
Combinations.LexicographicIterator,3,15,18,0.833333333,4,38,42,0.904761905,4,9,13
Decimal64,2,12,14,0.857142857,11,86,97,0.886597938,11,67,78
IntegerSequence.Incrementor.new IntegerSequence.Incrementor.MaxCountExceededCallback() {...},0,0,0,100,0,2,2,1,0,2,2
ResizableDoubleArray,11,78,89,0.876404494,18,216,234,0.923076923,18,76,94
FastMath,53,775,828,0.935990338,37,1434,1471,0.974847043,45,462,507
BigReal,0,4,4,1,6,76,82,0.926829268,4,33,37
Decimal64Field,0,0,0,100,0,5,5,1,0,5,5
MultidimensionalCounter.Iterator,1,7,8,0.875,3,16,19,0.842105263,4,7,11
IntegerSequence.Range,0,4,4,1,0,12,12,1,0,5,5
MedianOf3PivotingStrategy,0,10,10,1,0,14,14,1,0,7,7
MathUtils,22,44,66,0.666666667,4,38,42,0.904761905,16,32,48
Precision,33,98,131,0.748091603,3,116,119,0.974789916,24,67,91
IterationEvent,0,0,0,100,0,4,4,1,0,2,2
Combinations,1,5,6,0.833333333,1,15,16,0.9375,1,8,9
KthSelector,1,37,38,0.973684211,0,47,47,1,1,23,24
FastMath.ExpIntTable,0,0,0,100,0,3,3,1,0,1,1
CombinatoricsUtils,2,96,98,0.979591837,2,120,122,0.983606557,3,56,59
FastMathCalc,62,0,62,0,275,0,275,0,48,0,48
MathArrays,46,245,291,0.841924399,33,465,498,0.93373494,34,172,206
IterationManager.new IntegerSequence.Incrementor.MaxCountExceededCallback() {...},0,0,0,100,3,0,3,0,2,0,2
MathArrays.new Comparator() {...},0,0,0,100,0,2,2,1,0,2,2
MathArrays.new Comparator() {...},0,0,0,100,0,2,2,1,0,2,2
OpenIntToDoubleHashMap.Iterator,4,12,16,0.75,4,24,28,0.857142857,4,9,13
CompositeFormat,1,27,28,0.964285714,0,56,56,1,1,21,22
OpenIntToFieldHashMap.Iterator,4,12,16,0.75,5,23,28,0.821428571,4,9,13
IntegerSequence.Incrementor,1,13,14,0.928571429,4,32,36,0.888888889,3,20,23
FastMathLiteralArrays,0,0,0,100,0,10,10,1,0,6,6
Incrementor.new Incrementor() {...},0,0,0,100,9,5,14,0.357142857,3,1,4
Incrementor.new Incrementor.MaxCountExceededCallback() {...},0,0,0,100,0,2,2,1,0,2,2
MultidimensionalCounter,2,22,24,0.916666667,4,45,49,0.918367347,2,18,20
Combinations.LexicographicComparator,0,14,14,1,0,26,26,1,0,10,10
Combinations.IterationOrder,0,0,0,100,0,2,2,1,0,1,1
Combinations.SingletonIterator,1,1,2,0.5,2,8,10,0.8,2,3,5
MathArrays.PairDoubleInteger,0,0,0,100,0,6,6,1,0,3,3
ResizableDoubleArray.ExpansionMode,0,0,0,100,0,3,3,1,0,1,1
ContinuedFraction,7,9,16,0.5625,11,31,42,0.738095238,9,4,13
Incrementor,1,7,8,0.875,2,23,25,0.92,1,14,15
MathArrays.OrderDirection,0,0,0,100,0,3,3,1,0,1,1
ArithmeticUtils,10,140,150,0.933333333,20,200,220,0.909090909,15,87,102
FastMath.ExpFracTable,0,0,0,100,0,3,3,1,0,1,1
RandomPivotingStrategy,0,0,0,100,2,3,5,0.6,1,1,2
IntegerSequence,0,0,0,100,0,2,2,1,0,2,2
IterationManager,0,8,8,1,9,27,36,0.75,4,13,17
MathArrays.Position,0,0,0,100,0,3,3,1,0,1,1
BigRealField,0,0,0,100,1,4,5,0.8,1,4,5
OpenIntToFieldHashMap,0,68,68,1,5,155,160,0.96875,2,57,59
TransformerMap,8,12,20,0.6,10,31,41,0.756097561,8,14,22
Pair,5,15,20,0.75,3,21,24,0.875,6,14,20
CentralPivotingStrategy,0,0,0,100,2,1,3,0.333333333,1,1,2
BigRealField.LazyHolder,0,0,0,100,0,1,1,1,0,1,1
DummyLocalizable,0,0,0,100,6,0,6,0,4,0,4
ArgUtils,1,7,8,0.875,0,8,8,1,1,4,5
LocalizedFormats,1,1,2,0.5,1,340,341,0.997067449,1,4,5
ExceptionContext,0,20,20,1,1,79,80,0.9875,1,27,28
FuzzyKMeansClusterer,16,40,56,0.714285714,24,101,125,0.808,15,31,46
MultiKMeansPlusPlusClusterer,0,4,4,1,3,16,19,0.842105263,3,5,8
KMeansPlusPlusClusterer.EmptyClusterStrategy,0,0,0,100,0,5,5,1,0,1,1
DoublePoint,1,3,4,0.75,2,12,14,0.857142857,2,6,8
CentroidCluster,0,0,0,100,0,4,4,1,0,2,2
DBSCANClusterer.PointStatus,0,0,0,100,0,3,3,1,0,1,1
Clusterer,0,0,0,100,0,5,5,1,0,3,3
DBSCANClusterer,0,28,28,1,0,55,55,1,0,22,22
Cluster,0,0,0,100,0,6,6,1,0,3,3
KMeansPlusPlusClusterer,38,50,88,0.568181818,65,104,169,0.615384615,31,31,62
LegendreHighPrecisionRuleFactory,0,24,24,1,0,98,98,1,0,15,15
SymmetricGaussIntegrator,0,6,6,1,0,25,25,1,0,6,6
HermiteRuleFactory,0,24,24,1,0,69,69,1,0,14,14
BaseRuleFactory,2,8,10,0.8,4,28,32,0.875,2,8,10
GaussIntegratorFactory,0,2,2,1,0,18,18,1,0,9,9
LegendreRuleFactory,0,24,24,1,0,61,61,1,0,14,14
GaussIntegrator,1,3,4,0.75,1,21,22,0.954545455,1,7,8
Kurtosis,3,13,16,0.8125,3,49,52,0.942307692,4,14,18
FourthMoment,0,2,2,1,3,26,29,0.896551724,1,7,8
StandardDeviation,0,0,0,100,9,28,37,0.756756757,5,12,17
VectorialCovariance,9,19,28,0.678571429,13,39,52,0.75,9,12,21
ThirdMoment,0,2,2,1,0,29,29,1,0,8,8
SemiVariance.Direction,0,0,0,100,0,7,7,1,0,3,3
FirstMoment,0,2,2,1,3,32,35,0.914285714,1,8,9
SecondMoment,0,2,2,1,3,20,23,0.869565217,1,7,8
GeometricMean,1,3,4,0.75,6,29,35,0.828571429,3,12,15
VectorialMean,4,12,16,0.75,7,20,27,0.740740741,5,9,14
Mean,3,9,12,0.75,4,43,47,0.914893617,4,14,18
SemiVariance,0,12,12,1,23,32,55,0.581818182,9,14,23
Skewness,2,14,16,0.875,3,52,55,0.945454545,3,15,18
Variance,14,32,46,0.695652174,10,101,111,0.90990991,17,27,44
Atan,0,0,0,100,2,2,4,0.5,2,2,4
Atanh,0,0,0,100,4,0,4,0,4,0,4
Cosh,0,0,0,100,1,3,4,0.75,1,3,4
Atan2,0,0,0,100,2,0,2,0,2,0,2
Divide,0,0,0,100,0,2,2,1,0,2,2
Tan,0,0,0,100,2,2,4,0.5,2,2,4
Floor,0,0,0,100,0,2,2,1,0,2,2
Expm1,0,0,0,100,2,2,4,0.5,2,2,4
Logit.Parametric,0,4,4,1,4,8,12,0.666666667,1,5,6
Abs,0,0,0,100,0,2,2,1,0,2,2
Constant,0,0,0,100,1,5,6,0.833333333,1,3,4
Ceil,0,0,0,100,0,2,2,1,0,2,2
Add,0,0,0,100,0,2,2,1,0,2,2
Logit,0,16,16,1,3,27,30,0.9,2,12,14
Logistic,0,2,2,1,1,13,14,0.928571429,1,5,6
Acos,0,0,0,100,2,2,4,0.5,2,2,4
Sigmoid.Parametric,0,4,4,1,0,11,11,1,0,6,6
Max,0,0,0,100,0,2,2,1,0,2,2
Rint,0,0,0,100,0,2,2,1,0,2,2
Asinh,0,0,0,100,4,0,4,0,4,0,4
HarmonicOscillator,0,4,4,1,1,17,18,0.944444444,1,6,7
Acosh,0,0,0,100,4,0,4,0,4,0,4
Gaussian,0,14,14,1,1,37,38,0.973684211,1,13,14
StepFunction,0,14,14,1,0,19,19,1,0,9,9
Min,0,0,0,100,0,2,2,1,0,2,2
Sigmoid,0,8,8,1,1,28,29,0.965517241,1,9,10
HarmonicOscillator.Parametric,0,4,4,1,0,17,17,1,0,6,6
Power,0,0,0,100,1,5,6,0.833333333,1,3,4
Identity,0,0,0,100,1,3,4,0.75,1,3,4
Signum,0,0,0,100,0,2,2,1,0,2,2
Multiply,0,0,0,100,0,2,2,1,0,2,2
Minus,0,0,0,100,1,3,4,0.75,1,3,4
Sin,0,0,0,100,0,4,4,1,0,4,4
Log10,0,0,0,100,2,2,4,0.5,2,2,4
Asin,0,0,0,100,2,2,4,0.5,2,2,4
Logistic.Parametric,0,6,6,1,2,25,27,0.925925926,1,6,7
Sqrt,0,0,0,100,1,3,4,0.75,1,3,4
Ulp,0,0,0,100,0,2,2,1,0,2,2
Tanh,0,0,0,100,2,2,4,0.5,2,2,4
Log1p,0,0,0,100,2,2,4,0.5,2,2,4
Subtract,0,0,0,100,2,0,2,0,2,0,2
Exp,0,0,0,100,2,2,4,0.5,2,2,4
Gaussian.Parametric,0,6,6,1,0,21,21,1,0,7,7
Cos,0,0,0,100,1,3,4,0.75,1,3,4
Log,0,0,0,100,1,3,4,0.75,1,3,4
Sinc,2,24,26,0.923076923,1,50,51,0.980392157,3,15,18
Sinh,0,0,0,100,2,2,4,0.5,2,2,4
Pow,0,0,0,100,0,2,2,1,0,2,2
Inverse,0,0,0,100,1,3,4,0.75,1,3,4
Cbrt,0,0,0,100,2,2,4,0.5,2,2,4
PSquarePercentile.Markers,0,38,38,1,0,90,90,1,0,35,35
Percentile,3,42,45,0.933333333,10,106,116,0.913793103,4,47,51
PSquarePercentile.FixedCapacityList,3,5,8,0.625,0,7,7,1,3,4,7
PSquarePercentile,0,48,48,1,0,77,77,1,0,39,39
Percentile.EstimationType.new Percentile.EstimationType() {...},0,4,4,1,0,5,5,1,0,4,4
Percentile.EstimationType.new Percentile.EstimationType() {...},0,4,4,1,0,5,5,1,0,4,4
Percentile.EstimationType.new Percentile.EstimationType() {...},0,4,4,1,0,5,5,1,0,4,4
Percentile.EstimationType.new Percentile.EstimationType() {...},0,4,4,1,0,5,5,1,0,4,4
Percentile.EstimationType.new Percentile.EstimationType() {...},0,4,4,1,0,5,5,1,0,4,4
Percentile.EstimationType.new Percentile.EstimationType() {...},0,4,4,1,0,5,5,1,0,4,4
Percentile.EstimationType.new Percentile.EstimationType() {...},0,4,4,1,0,5,5,1,0,4,4
Percentile.EstimationType.new Percentile.EstimationType() {...},0,2,2,1,0,4,4,1,0,3,3
Percentile.EstimationType.new Percentile.EstimationType() {...},0,4,4,1,0,10,10,1,0,5,5
Percentile.EstimationType.new Percentile.EstimationType() {...},0,2,2,1,0,4,4,1,0,4,4
Median,0,0,0,100,3,6,9,0.666666667,2,4,6
Percentile.EstimationType,0,8,8,1,0,31,31,1,0,10,10
PSquarePercentile.Marker,7,43,50,0.86,1,71,72,0.986111111,7,33,40
Min,0,12,12,1,3,29,32,0.90625,1,14,15
Max,0,12,12,1,3,29,32,0.90625,1,14,15
DfpField,7,39,46,0.847826087,11,156,167,0.934131737,17,46,63
BracketingNthOrderBrentSolverDFP.new RealFieldUnivariateFunction() {...},0,0,0,100,0,2,2,1,0,2,2
Dfp,81,699,780,0.896153846,82,1016,1098,0.925318761,83,427,510
DfpDec,12,100,112,0.892857143,25,109,134,0.813432836,22,56,78
DfpField.RoundingMode,0,0,0,100,0,9,9,1,0,1,1
DfpMath,40,154,194,0.793814433,34,337,371,0.908355795,29,88,117
BracketingNthOrderBrentSolverDFP,0,0,0,100,1,8,9,0.888888889,1,5,6
EvaluationRmsChecker,0,4,4,1,2,8,10,0.8,1,4,5
LevenbergMarquardtOptimizer.InternalData,0,0,0,100,0,8,8,1,0,1,1
OptimumImpl,0,0,0,100,2,12,14,0.857142857,2,8,10
LeastSquaresAdapter,0,0,0,100,0,10,10,1,0,8,8
DenseWeightedEvaluation,0,0,0,100,0,7,7,1,0,4,4
GaussNewtonOptimizer.Decomposition.new GaussNewtonOptimizer.Decomposition() {...},0,0,0,100,0,4,4,1,0,2,2
GaussNewtonOptimizer.Decomposition.new GaussNewtonOptimizer.Decomposition() {...},0,0,0,100,0,10,10,1,0,2,2
GaussNewtonOptimizer.Decomposition.new GaussNewtonOptimizer.Decomposition() {...},0,0,0,100,0,6,6,1,0,2,2
GaussNewtonOptimizer.Decomposition.new GaussNewtonOptimizer.Decomposition() {...},0,0,0,100,0,10,10,1,0,2,2
LevenbergMarquardtOptimizer,16,186,202,0.920792079,17,361,378,0.955026455,20,99,119
LeastSquaresFactory.LocalValueAndJacobianFunction,0,0,0,100,0,9,9,1,0,4,4
LeastSquaresBuilder,0,0,0,100,2,22,24,0.916666667,1,14,15
GaussNewtonOptimizer,1,17,18,0.944444444,6,41,47,0.872340426,5,11,16
AbstractEvaluation,0,2,2,1,0,18,18,1,0,6,6
LeastSquaresFactory.LocalLeastSquaresProblem.UnweightedEvaluation,0,0,0,100,0,8,8,1,0,4,4
LeastSquaresFactory.LocalLeastSquaresProblem.LazyUnweightedEvaluation,0,0,0,100,3,5,8,0.625,3,1,4
LeastSquaresFactory.new LeastSquaresAdapter() {...},0,0,0,100,3,0,3,0,2,0,2
LeastSquaresFactory.new ConvergenceChecker() {...},0,0,0,100,0,6,6,1,0,2,2
LeastSquaresFactory,0,6,6,1,5,16,21,0.761904762,5,8,13
LeastSquaresFactory.new LeastSquaresAdapter() {...},0,0,0,100,0,2,2,1,0,2,2
GaussNewtonOptimizer.Decomposition,0,0,0,100,0,5,5,1,0,1,1
LeastSquaresFactory.LocalLeastSquaresProblem,1,9,10,0.9,0,21,21,1,1,9,10
MultistepIntegrator.InitializationCompletedMarkerException,0,0,0,100,0,2,2,1,0,1,1
ExpandableStatefulODE.SecondaryComponent,0,0,0,100,0,7,7,1,0,1,1
ExpandableStatefulODE,4,14,18,0.777777778,7,58,65,0.892307692,6,20,26
JacobianMatrices,9,25,34,0.735294118,9,68,77,0.883116883,9,19,28
UnknownParameterException,0,0,0,100,0,4,4,1,0,2,2
MultistepFieldIntegrator.InitializationCompletedMarkerException,0,0,0,100,0,2,2,1,0,1,1
MultistepIntegrator.NordsieckInitializer,2,8,10,0.8,6,36,42,0.857142857,2,6,8
AbstractIntegrator,2,54,56,0.964285714,2,135,137,0.98540146,4,49,53
JacobianMatrices.MismatchedEquations,0,0,0,100,2,0,2,0,1,0,1
MultistepFieldIntegrator,1,7,8,0.875,7,49,56,0.875,6,12,18
ContinuousOutputModel,3,45,48,0.9375,3,110,113,0.973451327,5,32,37
FirstOrderConverter,0,0,0,100,0,14,14,1,0,3,3
FieldEquationsMapper,0,26,26,1,0,61,61,1,0,22,22
ParameterConfiguration,0,0,0,100,0,8,8,1,0,4,4
AbstractParameterizable,0,8,8,1,5,13,18,0.722222222,2,7,9
ParameterizedWrapper,2,0,2,0,12,0,12,0,8,0,8
FieldODEState,0,10,10,1,0,19,19,1,0,14,14
MultistepIntegrator,2,2,4,0.5,7,37,44,0.840909091,6,9,15
AbstractFieldIntegrator,6,44,50,0.88,3,123,126,0.976190476,8,46,54
MultistepFieldIntegrator.FieldNordsieckInitializer,0,6,6,1,0,28,28,1,0,6,6
AbstractIntegrator.new Comparator() {...},0,0,0,100,0,2,2,1,0,2,2
JacobianMatrices.JacobiansSecondaryEquations,5,21,26,0.807692308,1,39,40,0.975,5,11,16
FieldODEStateAndDerivative,0,2,2,1,0,8,8,1,0,5,5
FieldExpandableODE,0,4,4,1,0,28,28,1,0,7,7
MultistepIntegrator.new FirstOrderDifferentialEquations() {...},0,0,0,100,4,0,4,0,3,0,3
JacobianMatrices.MainStateJacobianWrapper,1,5,6,0.833333333,1,18,19,0.947368421,1,6,7
EquationsMapper,2,2,4,0.5,2,12,14,0.857142857,2,5,7
ParameterJacobianWrapper,2,6,8,0.75,2,22,24,0.916666667,3,5,8
AbstractFieldIntegrator.new Comparator() {...},0,0,0,100,0,2,2,1,0,2,2
ContinuousOutputFieldModel,4,46,50,0.92,2,112,114,0.98245614,4,30,34
FastFourierTransformer.MultiDimensionalComplexMatrix,8,22,30,0.733333333,8,53,61,0.868852459,6,16,22
FastFourierTransformer,9,54,63,0.857142857,4,169,173,0.976878613,9,33,42
TransformUtils,4,10,14,0.714285714,7,24,31,0.774193548,4,9,13
FastCosineTransformer,0,14,14,1,0,44,44,1,0,11,11
DstNormalization,0,0,0,100,0,3,3,1,0,1,1
TransformType,0,0,0,100,0,3,3,1,0,1,1
DctNormalization,0,0,0,100,0,3,3,1,0,1,1
DftNormalization,0,0,0,100,0,3,3,1,0,1,1
FastHadamardTransformer,1,17,18,0.944444444,3,39,42,0.928571429,2,13,15
FastSineTransformer,0,14,14,1,0,40,40,1,0,11,11
UnivariatePeriodicInterpolator.new UnivariateFunction() {...},0,0,0,100,0,2,2,1,0,2,2
InterpolatingMicrosphere.Facet,0,0,0,100,0,4,4,1,0,2,2
TricubicSplineInterpolatingFunction,10,70,80,0.875,6,97,103,0.941747573,10,35,45
MicrosphereInterpolatingFunction.MicrosphereSurfaceElement,0,2,2,1,0,13,13,1,0,7,7
BicubicSplineFunction.new BivariateFunction() {...},0,0,0,100,0,6,6,1,0,2,2
LoessInterpolator,4,48,52,0.923076923,6,110,116,0.948275862,6,30,36
BicubicSplineFunction.new BivariateFunction() {...},0,0,0,100,5,1,6,0.166666667,1,1,2
BicubicSplineFunction.new BivariateFunction() {...},0,0,0,100,5,1,6,0.166666667,1,1,2
BicubicSplineFunction.new BivariateFunction() {...},0,0,0,100,0,7,7,1,0,2,2
BicubicSplineFunction.new BivariateFunction() {...},0,0,0,100,0,7,7,1,0,2,2
MicrosphereProjectionInterpolator.new MultivariateFunction() {...},0,0,0,100,0,4,4,1,0,2,2
BicubicSplineInterpolatingFunction,6,48,54,0.888888889,3,81,84,0.964285714,8,32,40
