Row Labels,KILLED,MEMORY_ERROR,NO_COVERAGE,SURVIVED,TIMED_OUT,Grand Total
Abs,,,,1,,1
AbstractConvergenceChecker,4,,,,,4
AbstractConvexHullGenerator2D,5,,,1,,6
AbstractCurveFitter,14,,,,,14
AbstractDifferentiableOptimizer,,,3,,,3
AbstractDifferentiableUnivariateSolver,2,,,1,,3
AbstractEvaluation,10,,,,,10
AbstractFieldMatrix,318,,41,69,,428
AbstractFormat,17,,1,4,,22
AbstractIntegerDistribution,37,,3,15,9,64
AbstractIntegrator,80,,1,7,5,93
AbstractLeastSquaresOptimizer,70,2,4,7,,83
AbstractLinearOptimizer,8,,,2,1,11
AbstractListChromosome,3,,,2,,5
AbstractMultipleLinearRegression,54,,1,7,,62
AbstractMultivariateRealDistribution,7,,,1,,8
AbstractOptimizationProblem,3,,,,,3
AbstractParameterizable,7,,2,,,9
AbstractPolynomialSolver,2,,,,,2
AbstractRandomGenerator,30,,6,10,7,53
AbstractRealDistribution,47,,1,12,4,64
AbstractRealMatrix,325,,36,50,,411
AbstractRegion,87,,4,6,,97
AbstractScalarDifferentiableOptimizer,3,,,,,3
AbstractSimplex,132,,4,8,4,148
AbstractStepInterpolator,64,,5,8,1,78
AbstractStorelessUnivariateStatistic,22,,,3,,25
AbstractSubHyperplane,17,,,,,17
AbstractUnivariateDifferentiableSolver,3,,,,,3
AbstractUnivariateStatistic,8,,12,,,20
AbstractWell,38,,,1,2,41
Acos,,,2,1,,3
Acosh,,,3,,,3
AdamsBashforthIntegrator,28,,4,21,19,72
AdamsIntegrator,3,,,,,3
AdamsMoultonIntegrator,46,,4,27,15,92
AdamsNordsieckTransformer,56,,1,10,1,68
AdaptiveStepsizeIntegrator,50,,2,14,14,80
Add,2,,,,,2
AggregateSummaryStatistics,32,,17,6,,55
AgrestiCoullInterval,17,,,,,17
AkimaSplineInterpolator,97,,,6,,103
AklToussaintHeuristic,19,,2,24,,45
Arc,26,,1,7,,34
ArcsSet,152,,20,45,14,231
ArgUtils,9,,,,,9
ArithmeticUtils,145,,17,24,26,212
Array2DRowFieldMatrix,132,,9,33,,174
Array2DRowRealMatrix,155,,,29,,184
ArrayFieldVector,169,,32,82,,283
ArrayRealVector,292,,5,35,,332
Asin,,,2,1,,3
Asinh,,,3,,,3
Atan,,,2,1,,3
Atan2,,,1,,,1
Atanh,,,3,,,3
AVLTree,99,,5,21,,125
BaseAbstractMultivariateOptimizer,47,,,1,,48
BaseAbstractMultivariateSimpleBoundsOptimizer,2,,,,,2
BaseAbstractMultivariateVectorOptimizer,22,,11,1,1,35
BaseAbstractUnivariateIntegrator,17,,1,4,,22
BaseAbstractUnivariateOptimizer,18,,,,,18
BaseAbstractUnivariateSolver,24,,1,1,,26
BaseMultiStartMultivariateOptimizer,25,,,7,3,35
BaseMultivariateMultiStartOptimizer,15,,4,7,,26
BaseMultivariateOptimizer,28,,,1,,29
BaseMultivariateVectorMultiStartOptimizer,15,,2,16,,33
BaseOptimizer,17,,4,,,21
BaseRuleFactory,13,,,,,13
BaseSecantSolver,39,,,15,1,55
BesselJ,240,,12,115,1,368
Beta,228,,5,26,5,264
BetaDistribution,38,,9,5,1,53
BicubicInterpolatingFunction,111,,,,,111
BicubicInterpolator,35,,,6,1,42
BicubicSplineInterpolatingFunction,117,,8,32,,157
BicubicSplineInterpolator,36,,,18,,54
BiDiagonalTransformer,213,,3,9,,225
BigFraction,130,,6,21,1,158
BigFractionField,5,,,,,5
BigFractionFormat,28,,4,6,,38
BigReal,15,,2,2,,19
BigRealField,4,,1,,,5
BinaryChromosome,16,,1,1,1,19
BinaryMutation,3,,,,,3
BinomialDistribution,39,,1,,,40
BinomialTest,20,,4,8,2,34
BisectionSolver,5,,,3,,8
BitsStreamGenerator,44,,12,6,3,65
BlockFieldMatrix,750,,103,96,,949
BlockRealMatrix,883,,39,99,,1021
BOBYQAOptimizer,2181,,350,578,17,3126
BoundaryAttribute,3,,,,,3
BoundaryBuilder,13,,,1,,14
BoundaryProjection,3,,,,,3
BoundaryProjector,23,,,3,,26
BoundarySizeVisitor,6,,,,,6
BracketFinder,81,,18,83,,182
BracketingNthOrderBrentSolver,119,,,24,1,144
BracketingNthOrderBrentSolverDFP,75,,13,18,1,107
BrentOptimizer,189,,4,37,,230
BrentSolver,63,,,23,,86
BSPTree,79,,8,28,,115
CanberraDistance,10,,,,,10
CardanEulerSingularityException,,,,1,,1
CauchyDistribution,30,,2,3,,35
Cbrt,,,2,1,,3
Ceil,,,,1,,1
CentralPivotingStrategy,,,5,,,5
CentroidCluster,1,,,,,1
Characterization,24,,,,,24
ChebyshevDistance,1,,,,,1
ChiSquaredDistribution,13,,,1,1,15
ChiSquareTest,106,,,16,,122
CholeskyDecomposition,93,,2,2,,97
Chromosome,8,,1,,,9
ChromosomePair,2,,1,,,3
Circle,29,,1,1,,31
ClassicalRungeKuttaStepInterpolator,64,,,8,,72
ClopperPearsonInterval,26,,,4,,30
Cluster,3,,,,,3
Clusterer,2,,,,,2
ClusterEvaluator,15,,1,2,,18
CMAESOptimizer,635,,98,292,1,1026
Combinations,63,,,4,,67
CombinatoricsUtils,130,,2,38,4,174
Complex,274,,8,20,1,303
ComplexField,4,,1,,,5
ComplexFormat,31,,14,6,,51
ComplexUtils,9,,,,,9
CompositeFormat,36,,,5,,41
ConfidenceInterval,5,,1,5,,11
ConjugateGradient,19,,3,11,1,34
Constant,2,,1,,,3
ConstantRealDistribution,15,,1,2,,18
ContinuedFraction,15,,2,3,4,24
ContinuousOutputModel,45,,2,58,4,109
ConvergenceException,,,,1,,1
ConvexHull2D,36,,,1,,37
CorrelatedRandomVectorGenerator,14,,4,1,,19
Cos,2,,1,,,3
Cosh,1,,1,1,,3
Covariance,35,,1,3,,39
CurveFitter,29,,13,,,42
CycleCrossover,11,,1,3,8,23
DBSCANClusterer,54,,,6,,60
Decimal64,90,,9,1,,100
Decimal64Field,4,,,,,4
DefaultFieldMatrixChangingVisitor,,,1,1,,2
DefaultFieldMatrixPreservingVisitor,,,,1,,1
DefaultIterativeLinearSolverEvent,5,,2,,,7
DefaultMeasurementModel,2,,,,,2
DefaultProcessModel,5,,,,,5
DefaultRealMatrixChangingVisitor,,,1,1,,2
DefaultRealMatrixPreservingVisitor,,,,1,,1
DefaultTransformer,6,,1,1,,8
DenseWeightedEvaluation,3,,,,,3
DerivativeStructure,194,,,30,,224
DescriptiveStatistics,52,,1,7,,60
Dfp,1095,,48,6,7,1156
DfpDec,112,,13,10,1,136
DfpField,47,,11,31,2,91
DfpMath,144,,37,15,11,207
DiagonalMatrix,64,,,8,,72
DimensionMismatchException,1,,,,,1
DiskGenerator,12,,,,,12
Divide,2,,,,,2
DividedDifferenceInterpolator,16,,,,,16
DormandPrince54Integrator,24,,,,2,26
DormandPrince54StepInterpolator,75,,,4,1,80
DormandPrince853Integrator,30,,,1,22,53
DormandPrince853StepInterpolator,262,,,4,1,267
DoublePoint,5,,2,2,,9
DSCompiler,717,,,17,,734
DummyLocalizable,,,3,,,3
DummyStepHandler,,,2,,,2
EarthMoversDistance,7,,,,,7
Edge,19,,3,18,,40
EdgesBuilder,19,,,4,,23
EigenDecomposition,414,,24,49,2,489
ElitisticListPopulation,12,,,3,,15
EmbeddedRungeKuttaIntegrator,86,,,9,16,111
EmpiricalDistribution,102,,9,22,,133
EnclosingBall,10,,,1,,11
EnumeratedDistribution,34,,12,7,,53
EnumeratedIntegerDistribution,34,,,3,,37
EnumeratedRealDistribution,47,,,3,,50
EquationsMapper,6,,,,,6
Erf,143,,,24,,167
Euclidean1D,3,,,,,3
Euclidean2D,4,,,,,4
Euclidean3D,4,,,,,4
EuclideanDistance,1,,,,,1
EuclideanDoublePoint,14,,2,1,,17
EuclideanIntegerPoint,14,,2,1,,17
EulerStepInterpolator,14,,,3,,17
EvaluationRmsChecker,3,,,,,3
EventFilter,25,,4,11,,40
EventState,72,,5,14,3,94
ExceptionContext,46,,1,,,47
Exp,,,2,1,,3
ExpandableStatefulODE,36,,4,,,40
Expm1,1,,2,,,3
ExponentialDecayFunction,14,,,1,,15
ExponentialDistribution,45,,2,7,2,56
FastCosineTransformer,57,,,1,,58
FastFourierTransformer,203,,6,3,1,213
FastHadamardTransformer,43,,1,,2,46
FastMath,2144,,42,355,14,2555
FastMathCalc,,,252,,,252
FastMathLiteralArrays,5,,,,,5
FastSineTransformer,42,,,1,,43
FDistribution,56,,,4,1,61
FeatureInitializerFactory,5,,1,2,,8
FieldHermiteInterpolator,51,,,4,,55
FieldLUDecomposition,144,,,5,,149
FieldRotation,108,,,54,,162
FieldVector3D,133,,,29,,162
FilterType,75,,,21,,96
FiniteDifferencesDifferentiator,87,,,7,,94
FirstMoment,9,,1,3,,13
FirstOrderConverter,7,,,,,7
FixedElapsedTime,5,,,3,,8
FixedGenerationCount,5,,1,1,1,8
Floor,,,,1,,1
FourthMoment,24,,1,2,,27
Fraction,122,,2,19,1,144
FractionField,5,,,,,5
FractionFormat,18,,5,5,,28
Frequency,74,,10,5,,89
FunctionUtils,138,,66,3,,207
FuzzyKMeansClusterer,52,,15,13,11,91
Gamma,268,,7,39,4,318
GammaDistribution,100,,14,33,2,149
Gaussian,66,,1,4,,71
GaussianCurveFitter,57,,19,18,,94
GaussianFitter,104,,38,36,,178
GaussianRandomGenerator,1,,,,,1
GaussIntegrator,13,,,,,13
GaussIntegratorFactory,16,,,,,16
GaussNewtonOptimizer,100,,3,2,2,107
GeneticAlgorithm,17,,,12,,29
GeometricDistribution,28,,2,2,,32
GeometricMean,13,,2,5,,20
GillStepInterpolator,68,,,10,,78
GLSMultipleLinearRegression,8,,3,1,,12
GradientFunction,7,,,,,7
GradientMultivariateOptimizer,6,,,1,,7
GraggBulirschStoerIntegrator,288,,3,91,49,431
GraggBulirschStoerStepInterpolator,156,,7,16,10,189
GTest,99,,,10,,109
GumbelDistribution,26,,8,5,,39
HaltonSequenceGenerator,24,,,1,2,27
HarmonicCurveFitter,74,,1,28,,103
HarmonicFitter,140,,,56,,196
HarmonicOscillator,35,,1,,,36
HermiteInterpolator,59,,,3,,62
HermiteRuleFactory,,,,70,1,71
HessenbergTransformer,104,,1,4,,109
HighamHall54Integrator,11,,,1,9,21
HighamHall54StepInterpolator,135,,,12,,147
HypergeometricDistribution,62,,1,1,2,66
Identity,2,,1,,,3
Incrementor,14,,,,,14
InitialGuess,2,,,,,2
InsideFinder,26,,,3,,29
Interval,18,,4,4,,26
IntervalsSet,84,,11,17,13,125
IntervalUtils,10,,,4,,14
Inverse,3,,1,,,4
ISAACRandom,144,,4,5,3,156
IterationEvent,1,,,,,1
IterationManager,9,,1,1,1,12
IterativeLegendreGaussIntegrator,26,,,2,,28
IterativeLinearSolver,4,,6,3,,13
IterativeLinearSolverEvent,,,1,,,1
JacobianFunction,10,,,,,10
JacobianMatrices,92,,4,14,,110
JacobianMultivariateVectorOptimizer,7,,,,,7
JacobiPreconditioner,15,,2,1,,18
JDKRandomGenerator,1,,1,,,2
KalmanFilter,20,,3,11,,34
KendallsCorrelation,82,,,3,1,86
KMeansPlusPlusClusterer,97,,35,58,3,193
KohonenTrainingTask,2,,,,,2
KohonenUpdateAction,6,,1,3,3,13
KolmogorovSmirnovDistribution,71,,15,16,4,106
KolmogorovSmirnovTest,287,,98,58,7,450
KthSelector,31,,,13,7,51
Kurtosis,57,,1,6,,64
LaguerreSolver,47,,11,19,1,78
LaplaceDistribution,28,,6,13,,47
LearningFactorFunctionFactory,12,,,,,12
LeastSquaresAdapter,7,,,,,7
LeastSquaresBuilder,13,,1,,,14
LeastSquaresConverter,52,,,,,52
LeastSquaresFactory,30,1,8,2,,41
LegendreGaussIntegrator,29,,,3,,32
LegendreHighPrecisionRuleFactory,36,,,,2,38
LegendreRuleFactory,73,,,,,73
LevenbergMarquardtOptimizer,1041,,13,138,2,1194
LevyDistribution,34,,5,5,,44
LimitAngle,14,,1,1,,16
Line,101,,15,27,,143
LinearConstraint,25,,19,4,,48
LinearConstraintSet,1,,3,,,4
LinearInterpolator,16,,,1,,17
LinearObjectiveFunction,25,,10,2,,37
LinearOptimizer,11,,,,,11
LineSearch,8,,,,,8
ListPopulation,19,,4,5,,28
LocalizedFormats,3,,,1,,4
LoessInterpolator,103,,2,13,1,119
Log,2,,1,,,3
Log10,,,2,1,,3
Log1p,,,2,1,,3
Logistic,36,,1,5,,42
LogisticDistribution,31,,7,6,,44
Logit,43,,1,5,,49
LogNormalDistribution,64,,,10,1,75
LUDecomposition,137,,,3,,140
LutherStepInterpolator,244,,,22,,266
ManhattanDistance,1,,,,,1
MannWhitneyUTest,31,,,3,,34
MapUtils,3,,41,1,,45
MathArithmeticException,3,,1,1,,5
MathArrays,515,,82,51,1,649
MathIllegalArgumentException,1,,1,2,,4
MathIllegalNumberException,1,,,,,1
MathIllegalStateException,2,,2,1,,5
MathInternalError,,,1,,,1
MathParseException,,,1,1,,2
MathRuntimeException,,,4,,,4
MathUnsupportedOperationException,,,3,1,,4
MathUtils,52,,,28,,80
MatrixDimensionMismatchException,4,,,,,4
MatrixUtils,181,,14,24,,219
Max,16,,1,5,,22
MaxCountExceededException,2,,,,,2
MaxEval,2,,1,1,,4
MaxIter,2,,1,1,,4
Mean,27,,2,9,,38
Median,2,,1,,,3
MedianOf3PivotingStrategy,12,,,7,,19
MersenneTwister,103,,2,8,2,115
MicrosphereInterpolatingFunction,29,,,8,1,38
MicrosphereInterpolator,3,,,2,,5
MidPointIntegrator,25,,,7,2,34
MidpointStepInterpolator,26,,,6,,32
MillerUpdatingRegression,466,,62,121,,649
Min,16,,1,5,,22
Minus,3,,1,,,4
MixtureMultivariateNormalDistribution,4,,,,,4
MixtureMultivariateRealDistribution,34,,1,3,,38
ModelFunction,1,,,,,1
ModelFunctionJacobian,1,,,,,1
MonotoneChain,39,,,9,,48
MullerSolver,47,,3,28,,78
MullerSolver2,46,,5,12,2,65
MultidimensionalCounter,55,,6,2,1,64
MultiDimensionMismatchException,2,,2,,,4
MultiDirectionalSimplex,32,,,2,2,36
MultiKMeansPlusPlusClusterer,3,,3,1,1,8
Multiply,2,,,,,2
MultiStartMultivariateOptimizer,7,,3,1,,11
MultiStartMultivariateVectorOptimizer,2,,3,6,,11
MultiStartUnivariateOptimizer,28,,1,4,,33
MultistepIntegrator,28,,12,13,4,57
MultivariateFunctionMappingAdapter,54,,,20,,74
MultivariateFunctionPenaltyAdapter,46,,,18,,64
MultivariateNormalDistribution,44,,4,3,,51
MultivariateNormalMixtureExpectationMaximization,92,,6,11,,109
MultivariateOptimizer,10,,,,,10
MultivariateSummaryStatistics,96,,,22,,118
MultivariateVectorOptimizer,14,,,,1,15
NakagamiDistribution,26,,,17,1,44
NaturalRanking,71,,1,4,,76
NeighbourhoodSizeFunctionFactory,4,,,,,4
NelderMeadSimplex,124,,,10,,134
NestedLoops,,,26,,,26
Network,47,,1,6,,54
Neuron,17,,,1,,18
NeuronSquareMesh2D,127,,4,5,,136
NeuronString,40,,2,3,,45
NevilleInterpolator,1,,,,,1
NewtonRaphsonSolver,6,,,1,,7
NewtonSolver,6,,,1,,7
NoBracketingException,,,4,,,4
NodesSet,5,,,,,5
NonLinearConjugateGradientOptimizer,112,,5,6,1,124
NonMonotonicSequenceException,4,,,4,,8
NonNegativeConstraint,1,,,,,1
NonPositiveDefiniteMatrixException,,,3,2,,5
NonSymmetricMatrixException,,,3,,,3
NordsieckStepInterpolator,59,,3,3,4,69
NormalApproximationInterval,13,,,,,13
NormalDistribution,51,,2,4,,57
NPointCrossover,21,,1,2,,24
NumberIsTooLargeException,2,,,1,,3
NumberIsTooSmallException,2,,,1,,3
ObjectiveFunction,1,,,,,1
ObjectiveFunctionGradient,1,,,,,1
OLSMultipleLinearRegression,40,,,,,40
OnePointCrossover,13,,,,,13
OneWayAnova,38,,,7,,45
OpenIntToDoubleHashMap,98,2,,25,8,133
OpenIntToFieldHashMap,97,,1,28,8,134
OpenMapRealMatrix,53,,9,7,1,70
OpenMapRealVector,178,,19,26,,223
OptimumImpl,7,,2,,,9
OrderedCrossover,12,,,5,,17
OrderedTuple,,,143,,,143
OrientedPoint,11,,5,,,16
OutlineExtractor,,,88,,,88
OutOfRangeException,2,,,,,2
Pair,18,,1,5,,24
ParameterConfiguration,1,,,1,,2
ParameterizedWrapper,,,6,,,6
ParameterJacobianWrapper,15,,2,,,17
ParetoDistribution,49,,,6,1,56
PascalDistribution,42,,1,1,,44
PearsonsCorrelation,61,,,4,,65
Percentile,156,,4,25,,185
PiecewiseBicubicSplineInterpolatingFunction,48,,13,3,,64
PiecewiseBicubicSplineInterpolator,8,,,2,,10
Plane,104,,8,12,,124
PointValuePair,12,,,2,,14
PointVectorValuePair,20,,,4,,24
PoissonDistribution,99,,3,32,2,136
PollardRho,,,43,,,43
PolygonsSet,150,,32,55,6,243
PolyhedronsSet,40,,30,6,,76
PolynomialCurveFitter,7,,1,,,8
PolynomialFitter,2,,4,,,6
PolynomialFunction,88,,24,12,,124
PolynomialFunctionLagrangeForm,83,,10,6,,99
PolynomialFunctionNewtonForm,41,,4,6,,51
PolynomialSplineFunction,43,,12,,,55
PolynomialsUtils,95,,1,9,,105
Pow,1,,,,,1
PowellOptimizer,72,,,61,,133
Power,2,,1,,,3
Precision,106,,17,22,,145
PreconditionedIterativeLinearSolver,8,,2,4,,14
Primes,33,,,1,,34
Product,21,,1,3,,25
ProperBigFractionFormat,26,,6,8,,40
ProperFractionFormat,26,,6,7,,39
PropertiesComputer,20,,2,3,,25
PSquarePercentile,161,,,22,,183
QRDecomposition,179,,,4,,183
QuasiSigmoidDecayFunction,10,,,1,,11
Quaternion,118,,7,7,,132
RandomAdaptor,9,,4,2,,15
RandomDataGenerator,80,,26,26,9,141
RandomDataImpl,,,31,1,,32
RandomGeneratorFactory,10,,7,2,1,20
RandomKey,40,,2,1,3,46
RandomKeyMutation,2,,,,,2
RandomPivotingStrategy,,,5,,,5
RealLinearOperator,,,1,,,1
RealMatrixFormat,47,,11,5,,63
RealVector,200,,2,30,1,233
RealVectorFormat,28,,4,4,1,37
RectangularCholeskyDecomposition,46,,,2,,48
RegionFactory,43,,4,14,,61
RegressionResults,66,,25,15,,106
Relationship,4,,2,2,,8
ResizableDoubleArray,109,,6,32,,147
RiddersSolver,21,,4,8,,33
Rint,,,,1,,1
RombergIntegrator,21,,2,6,,29
RootsOfUnity,30,,2,5,,37
Rotation,565,,,61,,626
RotationOrder,4,,,,,4
RRQRDecomposition,26,,,12,,38
RungeKuttaIntegrator,97,,1,11,1,110
RungeKuttaStepInterpolator,34,,,5,,39
S1Point,14,,1,3,,18
S2Point,25,,1,8,,34
SaddlePointExpansion,51,,6,14,5,76
SchurTransformer,248,,,38,2,288
SearchInterval,9,,,2,,11
SecantSolver,16,,1,3,,20
SecondMoment,12,,,2,,14
Segment,24,,1,2,,27
SemiVariance,21,,10,1,,32
Sigmoid,46,,1,1,,48
Signum,,,,1,,1
SimpleBounds,7,,,,,7
SimpleCurveFitter,4,,2,,,6
SimplePointChecker,30,,,4,,34
SimpleRegression,218,,49,24,,291
SimpleUnivariateValueChecker,22,,,4,,26
SimpleValueChecker,22,,,4,,26
SimpleVectorValueChecker,30,,,4,,34
SimplexOptimizer,50,,,2,,52
SimplexSolver,95,,1,31,11,138
SimplexTableau,354,,26,21,10,411
SimpsonIntegrator,13,,6,5,,24
Sin,3,,,,,3
Sinc,77,,1,21,,99
SingularValueDecomposition,369,,2,66,11,448
Sinh,,,2,1,,3
Skewness,48,,1,10,,59
SmallPrimes,31,,2,13,2,48
SmoothingPolynomialBicubicSplineInterpolator,43,,,4,,47
SobolSequenceGenerator,71,,1,16,3,91
SolutionCallback,4,,,,,4
SparseFieldMatrix,8,,13,5,,26
SparseFieldVector,120,,66,42,,228
SparseGradient,240,,5,23,,268
SpearmansCorrelation,38,,2,1,,41
Sphere1D,3,,,,,3
Sphere2D,3,,1,,,4
SphereGenerator,15,,,3,,18
SphericalCoordinates,204,,,,,204
SphericalPolygonsSet,78,,5,14,4,101
SplineInterpolator,67,,,1,,68
Sqrt,2,,1,,,3
StableRandomGenerator,21,,23,19,,63
StandardDeviation,9,,4,3,,16
StatisticalSummaryValues,19,,,12,,31
StatUtils,68,,8,7,,83
StepFunction,12,,,1,,13
StepNormalizer,23,,1,7,8,39
StepNormalizerBounds,2,,,,,2
StorelessBivariateCovariance,32,,3,1,,36
StorelessCovariance,36,,9,3,,48
SubCircle,14,,,4,,18
SubHyperplane,2,,,,,2
SubLimitAngle,7,,,4,,11
SubLine,41,,,5,,46
SubOrientedPoint,6,,2,3,,11
SubPlane,14,,,5,,19
Subtract,,,2,,,2
Sum,21,,2,3,,26
SummaryStatistics,63,,18,36,,117
SumOfClusterVariances,6,,,,,6
SumOfLogs,13,,1,3,,17
SumOfSquares,15,,1,3,,19
SymmetricGaussIntegrator,18,,,2,,20
SymmLQ,158,,10,46,,214
SynchronizedDescriptiveStatistics,13,,1,2,,16
SynchronizedMultivariateSummaryStatistics,30,,,,,30
SynchronizedRandomGenerator,8,,3,,,11
SynchronizedSummaryStatistics,21,,16,1,,38
Tan,,,2,1,,3
Tanh,,,2,1,,3
Target,2,,,,,2
TDistribution,45,,,5,1,51
TestUtils,39,,11,,,50
ThirdMoment,19,,,2,,21
ThreeEighthesStepInterpolator,77,,,10,,87
TooManyEvaluationsException,,,,1,,1
TooManyIterationsException,,,,1,,1
TournamentSelection,7,,2,1,,10
Transformer,8,,,1,,9
TransformerMap,16,,9,3,,28
TransformUtils,20,,3,1,,24
TrapezoidIntegrator,31,,2,5,,38
TriangularDistribution,106,,3,11,,120
TricubicInterpolatingFunction,188,,22,1,,211
TricubicInterpolator,56,,17,6,,79
TricubicSplineInterpolatingFunction,118,,5,8,,131
TricubicSplineInterpolator,52,,,35,,87
TriDiagonalTransformer,120,,1,3,,124
TTest,100,,3,24,,127
Ulp,,,,1,,1
UncorrelatedRandomVectorGenerator,8,,,,,8
UniformCrossover,14,,1,,,15
UniformIntegerDistribution,39,,1,3,3,46
UniformRandomGenerator,4,,,,,4
UniformRealDistribution,41,,1,3,,45
UnitSphereRandomVectorGenerator,11,,,,,11
UnivariateMultiStartOptimizer,26,,3,4,,33
UnivariateObjectiveFunction,1,,,,,1
UnivariateOptimizer,14,,,,,14
UnivariatePeriodicInterpolator,18,,,3,,21
UnivariatePointValuePair,4,,,,,4
UnivariateSolverUtils,50,,16,27,,93
UnknownParameterException,,,1,,,1
ValueServer,32,,1,6,,39
Variance,67,,7,18,,92
Vector1D,67,,3,4,,74
Vector1DFormat,8,,,,,8
Vector2D,41,,91,14,,146
Vector2DFormat,7,,1,,,8
Vector3D,154,,,15,,169
Vector3DFormat,8,,,,,8
VectorFormat,25,,6,2,,33
VectorialCovariance,39,,18,6,,63
VectorialMean,17,,6,1,,24
Vertex,7,,1,2,,10
WeibullDistribution,57,,4,5,,66
Weight,2,,2,,,4
WeightedObservedPoint,6,,,,,6
WeightedObservedPoints,3,,,,,3
Well1024a,20,,,,,20
Well19937a,26,,,,,26
Well19937c,32,,,,,32
Well44497a,29,,,,,29
Well44497b,35,,,,,35
Well512a,22,,,,,22
WelzlEncloser,20,,,5,4,29
WilcoxonSignedRankTest,60,,,7,2,69
WilsonScoreInterval,27,,,,,27
ZipfDistribution,50,,1,3,1,55
Grand Total,36668,5,3602,6246,548,47069
